id,type,name,native,aliases,region,countries,from_year,to_year,living,period,form,materials,worn,against,restricted,confidence,needs_verification,updated,url,blurb
lungta-flag,amulet,Lung ta prayer flag,རླུང་རྟ།,lungta · rlung-rta · wind horse flag · prayer flag · darchog,himalaya-tibet south-asia,CN NP IN BT,1040,,True,Bon roots; flags in Tibet by the 11th century,cord,cloth ink,roof wall,bad-luck,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/lungta-flag/,"A square or oblong of coloured cloth, printed from a woodblock, sewn along its top edge to a long string with others."
lunula,amulet,Lunula,lunula,crescent pendant · Roman girl's crescent,rome-italy greece-aegean,IT,-299,399,False,Roman,pendant,gold,neck,evil-eye demons witchcraft child-harm,False,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/lunula/,"A crescent moon on a chain, usually gold, worn by girls in ancient Rome."
magical-gem,amulet,Magical gem,,Graeco-Egyptian magical gem · Abraxas stone · gnostic gem · magical intaglio,ancient-egypt greece-aegean rome-italy levant,EG GR IT,-99,399,False,Roman Imperial,pendant,agate carnelian lapis glass,neck finger grave,illness poverty loneliness witchcraft attraction,False,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/magical-gem/,"A cut stone between one and three centimetres across, engraved on both faces and often round the edge as well."
maneki-neko,amulet,Maneki-neko,招き猫,beckoning cat · lucky cat · calling cat · marushime-neko · zhāocáimāo 招財貓,japan china diaspora,JP CN,1852,,True,late Edo to the present,figurine,terracotta plastic wood iron copper,shop door,attraction bad-luck illness poverty loneliness,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/maneki-neko/,"A seated cat, one forepaw raised palm-down in a beckoning fold, usually holding an oval koban coin in the other. The classic figure is a calico Japanese Bobtail."
martenitsa,amulet,Martenitsa,мартеница,martinka · mărțișor · mártis · verore · Pizho and Penda,balkans,BG MK RO MD GR AL,801,,True,Attested in Byzantine lexicography; living tradition,cord,thread,wrist neck chest,illness spirits witchcraft bad-luck,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/martenitsa/,"Twisted white and red yarn, most often made into two small wool dolls: Pizho, the male one, mostly white; Penda, the female one, mostly red and wearing a skirt."
mezuzah,amulet,Mezuzah,מְזוּזָה,mezuza · klaf,levant diaspora north-america,IL US,-299,,True,"Biblical commandment, continuous practice",door-piece,parchment ink silver wood terracotta,door lintel,demons house war,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/mezuzah/,"A strip of parchment, handwritten by a trained scribe in indelible black ink with a quill, carrying Deuteronomy 6:4–9 and 11:13–21."
milagro,amulet,Milagro,milagro,ex-voto · dije · promesa · milagrito,mesoamerica north-america iberia,MX US ES,,,True,ancient Iberia to the present,pendant,silver gold lead wood bone,wall neck pocket,illness travel bad-luck,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/milagro/,"A small flat metal shape of the thing you are praying about — a leg, an eye, a heart, a lung, a kneeling man, a cow, a house, a car."
miraculous-medal,amulet,Miraculous Medal,Médaille miraculeuse,Medal of the Immaculate Conception · Medal of Our Lady of Graces · médaille de la rue du Bac,western-europe rome-italy china diaspora world,FR IT CN,1832,,True,the nineteenth century to now,medal,silver gold brass copper,neck chest pocket,attraction illness,False,high,False,2026-09-17,https://nanobotco.github.io/amulet-atlas/amulet/miraculous-medal/,"An oval stamped medal, worn at the neck on a chain. The front shows a woman standing on a globe, crushing a serpent's head, rays coming from rings on her hands, inside an oval of words that reads ""O Mary, conceived…"
mjolnir-pendant,amulet,Mjölnir pendant,Mjǫllnir,Thor's hammer pendant · hammer amulet · Torshammare · Thorshammer,nordic baltic-slavic britain-ireland western-europe,DK SE NO IS FI GB DE EE LV LT RU,700,1100,False,Viking Age,pendant,iron silver amber copper,neck grave,demons curse,False,high,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/mjolnir-pendant/,"A small hammer worn head-down at the throat: short haft, wide splayed head, a suspension loop or ring where the handle should end."
navaratna-ring,amulet,Navaratna ring,नवरत्न,navaratna · nawarat · noppharat · navaratinam · nine-gem ring,south-asia mainland-sea island-sea,IN NP LK TH MM KH VN MY SG ID,,,True,not dated in the source; the gem-planet list is quoted from named texts,ring,gold silver coral,finger neck chest,demons snakebite illness bad-luck,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/navaratna-ring/,"Nine stones set together in gold or silver, one for each of the nine bodies of Hindu astrology, with a ruby at the centre for the Sun."
nazar,amulet,Nazar,نَظَر,nazar boncuğu · göz boncuğu · eye bead · máti · cheshm nazar · nazar qurbani,anatolia greece-aegean iran-persia south-asia balkans caucasus,TR GR IR AF IN PK BD AL AZ IL,-1599,,True,Late Bronze Age to the present,bead,glass iron copper salt,neck wrist door vehicle shop cradle phone,evil-eye envy bad-luck,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/nazar/,"A handmade glass bead: concentric circles, or a teardrop, in dark blue, white, light blue and black, sometimes rimmed in yellow or gold."
nimbu-mirchi,amulet,Nimbu mirchi,नींबू मिर्ची,lemon and chillies · lime and seven chillies · nazar battu,south-asia,IN PK,,,True,not dated in the sources read,door-piece,herb thread,door shop vehicle,evil-eye envy bad-luck,False,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/nimbu-mirchi/,"A lime and seven green chillies threaded on a string and hung at a doorstep, over a shop counter or from the back of a vehicle. Nothing is worn and nothing is written. The thing rots in the sun, browns, and is replaced."
nkisi,amulet,Nkisi,nkisi,nkishi · minkisi · nkisi nkondi · nkondi · kozo,central-africa diaspora,CD CG AO,1600,,True,early seventeenth century to the present; nailed figures mainly nineteenth and early twentieth century,figurine,wood iron earth herb glass cloth,,witchcraft theft illness curse lawsuit poverty,True,high,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/nkisi/,"A container with a spirit in it. The container can be a ceramic vessel, a gourd, an animal horn, a shell, a cloth bundle — anything that will hold spiritually charged substances — and it can also be a carved wooden…"
ofuda,amulet,Ofuda,御札,gofu 護符 · shinsatsu 神札 · kamifuda · kifuda · Jingū Taima,japan,JP,710,,True,Nara and Heian woodblock prints to the present,folded-paper,paper wood cloth,wall door lintel hearth,house bad-luck loneliness spirits,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/ofuda/,"A flat talisman issued by a shrine or a temple: a sheet of paper, a thin rectangular plaque in a paper sleeve, or a wooden tablet, carrying the name of the shrine or of the deity enshrined there and stamped with the…"
ojo-de-venado,amulet,Ojo de venado,ojo de venado,deer's eye · ojo de buey · ojo de toro · ojo de caballo · semilla de mucuna,mesoamerica,MX,,,True,modern Mexico,bead,seed thread,neck wrist vehicle cradle,evil-eye child-harm travel,False,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/ojo-de-venado/,"A hard round seed of a Mucuna vine, dark and glossy with a broad black band across it, which is why it reads as an eye at arm's length."
omamori,amulet,Omamori,御守,o-mamori · お守り · Japanese shrine charm,japan,JP,1603,,True,Tokugawa (Edo) to the present,packet,cloth paper wood,pocket phone vehicle neck,traffic exams attraction childbirth house bad-luck,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/omamori/,"A small brocade pouch, a few centimetres tall, drawn shut at the top with a cord and printed with the name of the shrine or temple that issued it."
omikuji,amulet,Omikuji,御神籤,o-mikuji · おみくじ · sacred lot,japan,JP,1409,,True,Muromachi to the present,card,paper ink,pocket wall,bad-luck,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/omikuji/,"A narrow strip of printed paper drawn at random from a box at a shrine or temple, for a small offering."
ongon,amulet,Ongon,онгон,ongod · yazguur ongod · geriin ongod · lineage talisman · household talisman,mongolia-steppe siberia-arctic,MN RU,1700,,True,18th-century shamaness to the present ethnographic record,figurine,wood iron cloth,wall field hearth,spirits the-dead house,True,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/ongon/,"Two things under one word. An ongon is a spirit in the shamanic belief of Mongolia — after death, shamans become shamanic souls, ongod — and it is also the made object that stands for that spirit in the physical world…"
palad-khik,amulet,Palad khik,ปลัดขิก,palakhik · palat khik · honorable surrogate penis,mainland-sea,TH,,,True,not dated in this project's sources,figurine,wood copper bone tooth,waist pocket shop,weapons attraction theft infertility,False,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/palad-khik/,"A carved phallus, from a couple of inches to several feet long, in wood, metal, bone, horn or ivory, usually with sacred inscriptions cut into it."
patua,amulet,Patuá,patuá,pátua · bolsa de mandinga,brazil diaspora,BR,,,True,Afro-Brazilian religious practice,packet,cloth wood cowrie thread,neck pocket vehicle,bad-luck,False,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/patua/,"A small sewn packet, worn at the neck or carried, closed over whatever was put inside it."
pazuzu-head,amulet,Pazuzu head,𒀭𒅆𒊒𒍪𒍪,Pazuzu amulet · Pazuzu pendant,mesopotamia,IQ SY,-799,-62,False,Neo-Assyrian to Seleucid,pendant,terracotta copper iron gold glass bone,neck wall door grave,childbirth child-harm illness demons fever,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/pazuzu-head/,"A head, cast or carved, with a hole or a loop through the top for a cord. The face is the point: gazelle horns, human ears, a dog's muzzle, bulging eyes, wrinkled cheeks."
phone-charm,amulet,Phone charm,携帯ストラップ,keitai strap · phone strap · phone dangler · phone lanyard · phone chain,japan north-america britain-ireland korea world,JP US GB IE KR,1995,,True,the mobile phone era,pendant,plastic cloth thread wood,phone pocket,traffic bad-luck attraction,False,medium,True,2026-09-17,https://nanobotco.github.io/amulet-atlas/amulet/phone-charm/,"A small figure, bead, tassel or brocade pouch on a thin cord, knotted with a lark's head through a hole in a phone or a case."
phra-khrueang,amulet,Phra khrueang,พระเครื่อง,Thai Buddha amulet · phrakhrueang · votive tablet · Phra Somdej · Benja Phakhi,mainland-sea,TH,1866,,True,Rattanakosin to the present,plaque,earth terracotta copper wood bone hair,neck chest,weapons witchcraft attraction illness bad-luck,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/phra-khrueang/,"A small pressed image of the Buddha, a revered monk, a bodhisattva or a deva — a tablet a couple of centimetres across, in plaster, metal, wood or bone, often with ash, a monk's hair or temple relics in the mix."
ping-an-fu,amulet,Ping'an fu,平安符,ping an fu · peace talisman · safety charm,china,TW,,,True,Taoist talismanic practice; the paper peace charm itself is undated in the sources read,folded-paper,paper ink cloth,pocket wallet vehicle neck,travel bad-luck spirits,False,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/ping-an-fu/,"A sheet of yellow paper inscribed with sacred symbols, folded into a bagua shape or a rectangle and slipped into a red cloth sleeve."
quran-pendant,amulet,Qur'an pendant,آية الكرسي,miniature Qur'an · Ayat al-Kursi pendant · Qur'an case · hirz,arabia-gulf anatolia iran-persia south-asia maghreb,EG TR IR PK IN,901,,True,Medieval Islamic to the present,box,silver gold carnelian paper ink lead,neck vehicle wall pocket,demons evil-eye travel house illness,False,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/quran-pendant/,"A metal case at the throat with scripture inside it. Sometimes a whole miniature Qur'an, protected by an illuminated metal cover; sometimes a single verse on paper or engraved on the metal itself."
rabbits-foot,amulet,Rabbit's foot,,lucky rabbit's foot · graveyard rabbit's foot · left hind foot,north-america britain-ireland diaspora,US GB,1884,,True,Nineteenth century to the present,pendant,bone hair gold,pocket wallet neck,bad-luck curse bad-luck,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/rabbits-foot/,"A rabbit's hind foot, dried, carried in a pocket. Grander ones are capped in metal and hung from a chain; Theodore Roosevelt wrote in his autobiography that the boxer John L. Sullivan gave him a gold-mounted one."
red-string,amulet,Red string,חוט השני,scarlet thread · Kabbalah bracelet · khutt hashani,levant diaspora north-america,IL US,1489,,True,Early modern to the present,cord,thread,wrist finger,evil-eye bad-luck,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/red-string/,"A thin scarlet or crimson thread, usually wool, tied round the wrist as a bracelet or band. That is the whole object."
rowan-cross,amulet,Rowan cross,caorann,rowan and red thread · rowan loop · witch-wood cross · quickbeam cross,britain-ireland nordic western-europe,GB IE IM,1846,,True,Victorian folklore record to the present,knot,wood thread,pocket sewn-in door field,witchcraft livestock spirits house,False,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/rowan-cross/,"Two rowan twigs laid across each other and bound at the crossing with red thread or wool, a few inches across. A variant is a loop rather than a cross: a single withy bent round and tied."
rudraksha,amulet,Rudraksha,रुद्राक्ष,rudraksha · rudrākṣa · blueberry bead,south-asia himalaya-tibet island-sea,IN NP ID,,,True,late-medieval Upanishads to the present,bead,seed,neck wrist,bad-luck poverty,False,high,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/rudraksha/,"A hard brown seed-stone, ridged from top to bottom, drilled and strung at the throat."
sak-yant,amulet,Sak yant,สักยันต์,yantra tattooing · សាក់យ័ន្ត (Khmer) · ສັກຢັນ (Lao) · yant tattoo,mainland-sea,TH KH LA MM,800,,True,Khmer Empire to the present,tattoo,ink skin,skin,weapons bad-luck attraction illness,True,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/sak-yant/,"A tattoo. Geometric yantra, animals and deities, set about with phrases in Pali, Khmer or Northern Thai, pricked into the skin with a long needle — traditionally a metal rod sharpened to a point, the khem sak."
scarab,amulet,Scarab,𓆣,scarab seal · scarabaeus · dung-beetle amulet · royal-name scarab,ancient-egypt levant rome-italy iberia maghreb,EG IL PS SY LB TN IT ES TR,-1999,-29,False,Middle Kingdom to the late pharaonic period,pendant,faience carnelian gold glass agate,neck finger chest grave,the-dead bad-luck,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/scarab/,"A beetle, carved or moulded, with a flat underside cut as a seal. The back shows the head, the wing case and the legs; the base carries hieroglyphs — a king's name, an official's title, a short prayer, a hunting scene."
senninbari,amulet,Senninbari,千人針,thousand-person stitches · one thousand stitch belt · senninbari haramaki · tasuki,japan,JP,1894,1945,False,First Sino-Japanese War to the end of the Second World War,garment,cloth thread hair coin,waist head chest sewn-in pocket,weapons war illness,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/senninbari/,"A strip of cloth, usually white, about 15 centimetres wide and 90 to 120 centimetres or more long, carrying a thousand stitches or knots — commonly red, because white and red together were held to be auspicious."
st-christopher-medal,amulet,St Christopher medal,Ἅγιος Χριστόφορος,Saint Christopher medal · travellers' medal · San Cristóbal medal · Christophorus medal,western-europe iberia rome-italy greece-aegean balkans north-america diaspora,FR ES IT HR GR US,452,,True,the cult from late antiquity; the struck medal from the early modern period,medal,silver brass gold copper,neck chest wrist pocket wallet vehicle,traffic travel drowning fever,False,high,False,2026-09-17,https://nanobotco.github.io/amulet-atlas/amulet/st-christopher-medal/,"A stamped metal disc, 15 to 30 mm across, showing a bearded giant wading a river with a staff in one hand and a child on his shoulder. Aluminium, tin, brass, silver and gold all get struck."
sungkhor,amulet,Sungkhor,སྲུང་འཁོར།,srung 'khor · sungwa · srung ba · protection wheel · protective amulet,himalaya-tibet south-asia mongolia-steppe,CN NP IN BT,2000,,True,Tibetan Buddhist; the catalogued example is 21st century,packet,paper ink thread,neck chest pocket,travel weapons illness spirits,True,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/sungkhor/,"A diagram on paper, folded down to a small packet and bound in coloured thread."
tabiz,amulet,Tabiz,تعویز,taweez · ta'wiz · taʿwīdh · तावीज़,south-asia central-asia arabia-gulf,PK IN AF,900,,True,medieval Islamic world to the present,packet,paper ink silver lead thread,neck upper-arm sewn-in wall,evil-eye demons child-harm illness,False,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/tabiz/,"A written prayer, folded small and shut inside something. In South Asia the container is usually a flat or tubular metal case on a black cord at the neck or tied to the upper arm; the paper inside carries Qur'anic…"
takrut,amulet,Takrut,ตะกรุด,tangkai · rolled yant scroll,mainland-sea,TH,1200,,True,"pre-Buddhist Thailand, then Buddhist from around the 13th century",scroll,silver gold copper lead palm-leaf ink thread,waist neck chest pocket,weapons war travel attraction poverty,True,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/takrut/,"A tube. A thin sheet of metal or a strip of palm leaf is inscribed with yant — sacred geometry and Pali phrases — then rolled tight into an elongated scroll and bound with cord, or sealed in a case."
talismanic-shirt,amulet,Talismanic shirt,پیراهن طلسمات,talisman shirt · tılsımlı gömlek · pirâhan telesmat · talismanic tunic,anatolia iran-persia south-asia west-africa caucasus,TR IR IN RU,1375,1899,False,"Ottoman, Safavid and Mughal",garment,cloth ink,chest,weapons war illness bad-luck,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/talismanic-shirt/,"A shirt covered in writing. Verses from the Qur'an, the names of God, the names of prophets, or numbers, laid across the cloth in blocks and grids and roundels, sometimes with astrological images or magic squares among…"
tama-votive,amulet,Tama,τάμα,tamata · τάματα · Greek votive plaque · Orthodox votive,greece-aegean rome-italy balkans diaspora,GR IT,,,True,not dated by the sources read here,plaque,silver gold copper,wall,illness loneliness,False,high,False,2026-09-17,https://nanobotco.github.io/amulet-atlas/amulet/tama-votive/,"A small metal plaque, base metal or precious, with an image embossed on it: a heart, an eye, a hand, a leg, a whole kneeling figure, a house, a baby, a ship. A ribbon runs through it."
taweez,amulet,Ta'wiz,تعویذ,taweez · tawiz · taʿwīdh · hafiz · himala,south-asia arabia-gulf central-asia maghreb anatolia balkans,PK IN BD EG TR AF AL IR MA,901,,True,Medieval Islamic to the present,packet,paper ink lead silver leather cloth,neck upper-arm sewn-in pocket wall,evil-eye demons war child-harm illness,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/taweez/,"Writing, folded up and worn. A ta'wiz can be a paper packet in a black pouch, a scroll in a tubular pendant case, letters carved into metal, or a framed dua on a wall."
taweret-amulet,amulet,Taweret amulet,,Taurt · Ta-weret · Tawaret · Thoeris · hippopotamus goddess amulet,ancient-egypt nubia-sudan levant greece-aegean,EG SD GR LB SY,-2999,390,False,Predynastic to Roman Egypt,pendant,faience bone terracotta gold,neck cradle grave hearth,childbirth child-harm infertility the-dead,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/taweret-amulet/,"A hippopotamus standing upright on two legs, with a lion's limbs and paws, a Nile crocodile down her back and tail, human breasts and a pregnant belly."
tefillin,amulet,Tefillin,תְּפִלִּין,phylacteries · shel yad · shel rosh,levant diaspora north-america,IL US,1,,True,Second Temple period to the present,box,leather parchment ink,head upper-arm finger,demons illness war,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/tefillin/,"Two small black leather boxes with long black straps. The arm box goes on the upper non-dominant arm and its strap winds down the forearm, round the hand and round the middle finger; the head box sits between the eyes…"
teru-teru-bozu,amulet,Teru teru bōzu,照る照る坊主,teru teru bozu · てるてる坊主 · fine-weather priest · shine-shine monk,japan china,JP,1603,,True,Edo to the present,figurine,paper cloth thread ink,door wall roof,bad-luck,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/teru-teru-bozu/,"A small handmade doll of tissue paper or cloth, white, a ball of stuffing for a head with the cloth falling loose below it and a string tied round the neck."
toli-mirror,amulet,Toli,толь,toli mirror · neker-toli · shaman's mirror,mongolia-steppe siberia-arctic china,MN RU CN,1940,,True,recorded in 20th-century ethnography; worn now,mirror,brass copper,neck chest,spirits,True,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/toli-mirror/,"A metal disc, brass, copper or bronze, ornamented on one face and polished on the other, worn on a shaman's body."
tuareg-cross,amulet,Agadez cross,ⵜⴰⵏⴰⵖⵉⵍⵜ,Croix d'Agadez · Agadès cross · Cross of Niger · tanaghilt · talhakim · zakkat · kaulé,west-africa maghreb,NE,1900,,True,living Tuareg practice; the image is sometimes traced further back,pendant,silver copper,neck head,travel poverty bad-luck,False,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/tuareg-cross/,"A cast pendant, usually silver, with a ring or loop at the top and a flared, spreading body below — sometimes a cross, more often a shape between a cross and a shield."
tupilaq,amulet,Tupilaq,ᑐᐱᓚᒃ,tupilak · tupilait,siberia-arctic north-america,GL CA,,,True,Greenlandic Inuit practice; carved figures from the period of early European contact,figurine,bone tooth wood skin,pocket shop,,True,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/tupilaq/,"Two different things share this name, and a reader should hold them apart."
tyet-knot,amulet,Tyet,𓎬,knot of Isis · girdle of Isis · blood of Isis · tit · Gardiner V39,ancient-egypt,EG,-1549,-29,False,New Kingdom to the end of dynastic Egypt,pendant,carnelian glass faience,neck chest grave,the-dead theft illness,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/tyet-knot/,"A looped knot with two arms hanging down and a tail below — an ankh whose crossbar has drooped. Cut small and laid in the wrappings, usually on the upper torso."
wedjat-eye,amulet,Wedjat eye,𓂀,Eye of Horus · udjat · udjat eye · Horus eye amulet,ancient-egypt nubia-sudan levant,EG SD SY LB IL PS,-2685,641,False,Old Kingdom to Roman Egypt,pendant,faience carnelian lapis gold glass,neck chest grave,illness the-dead evil-eye,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/wedjat-eye/,"A stylised human eye with a falcon's cheek-mark curling below it, cut or moulded small enough to string at the throat."
witch-bottle,amulet,Witch bottle,,bottled spell · Bellarmine bottle · Greybeard jug · Bartmann jug,britain-ireland western-europe north-america,GB BE US,1500,,True,Early modern to the present,bottle,terracotta glass iron hair herb,foundation hearth wall door,witchcraft spirits illness curse house,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/witch-bottle/,"A stoppered vessel filled with the afflicted person's urine and with sharp iron — pins, needles, nails — then hidden."
worry-stone,amulet,Worry stone,,palm stone · thumb stone · fidget stone · soothing stone · sensory stone,greece-aegean britain-ireland north-america world,GR IE US,,,True,multiple claimed origins; documented in modern use,bead,agate jade turquoise amber,pocket wallet,illness,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/worry-stone/,"A smooth polished gemstone, usually an oval with a thumb-sized dish worn into one face, about 3 centimetres across. It is held between index finger and thumb, and the thumb is moved back and forth across the dish."
yantra-plate,amulet,Yantra plate,यन्त्र,yantra · yantrá · Sri Yantra · Sri Chakra,south-asia mainland-sea himalaya-tibet,IN NP LK TH,,,True,medieval Tantric traditions to the present; a Paleolithic claim is disputed,plaque,copper paper ink,wall neck shop door,spirits illness bad-luck poverty,False,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/amulet/yantra-plate/,"A geometric diagram, drawn on paper, painted, or engraved into a sheet of metal, and usually smaller and less coloured than a mandala."
andean-illa-practice,tradition,Illa practice,illa,conopa · canopa · inqaychu · enqa · Andean miniature practice,andes,BO PE,1400,,True,Inca to the present,figurine,earth wood paper terracotta gold,field wall shop pocket,infertility livestock poverty bad-luck house,True,medium,True,2026-09-17,https://nanobotco.github.io/amulet-atlas/tradition/andean-illa-practice/,"A practice of making the small thing stand for the large one. Its oldest form is the illa: a carved stone llama or alpaca, palm-sized, with a cylindrical hole sunk into the back between the shoulders — a container, fed…"
bakongo-nkisi-craft,tradition,Bakongo nkisi craft,kinganga,Kongo minkisi · nganga practice · nkisi nkondi making,central-africa diaspora,CD CG AO,1600,,True,early seventeenth century to the present,figurine,wood iron earth herb glass cloth bone,,witchcraft illness theft lawsuit poverty curse,True,high,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/tradition/bakongo-nkisi-craft/,"The practice, among the Bakongo of the Congo Basin and the Songye of Kasai, of assembling containers that a spirit inhabits. The maker is an nganga: a healer, diviner and mediator."
catholic-sacramentals,tradition,Catholic sacramentals,sacramentalia,sacramental · devotional article · blessed object,world rome-italy western-europe iberia north-america,VA IT FR GB PT US,820,,True,Early medieval to the present,,,,traffic demons curse,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/tradition/catholic-sacramentals/,"The class of blessed objects and rites the Catholic Church puts around the sacraments: holy water, blessed candles given out at Candlemas, blessed palms, blessed ashes, blessed salt, a crucifix, a cross necklace, a…"
chinese-fu-craft,tradition,Fulu — Taoist talismanic craft,符籙,fulu · talismanic script · Taoist talismans · fu,china island-sea diaspora,CN TW MY VN,25,,True,Eastern Han to the present,folded-paper,paper ink cloth copper brass coin wood,door wall pocket shop burnt swallowed,illness spirits demons bad-luck house,True,medium,True,2026-09-17,https://nanobotco.github.io/amulet-atlas/tradition/chinese-fu-craft/,"Writing that is not meant to be read. Fulu are Taoist talismanic characters — strokes that resemble Chinese characters, often an existing word elongated, with non-character symbols worked in, sometimes two characters…"
egyptian-amulet-craft,tradition,Egyptian amulet craft,𓋹𓊽𓎬,ancient Egyptian amulets · pharaonic amulet practice,ancient-egypt nubia-sudan,EG SD,-2999,641,False,Predynastic to the Arab conquest,pendant,faience carnelian lapis gold glass terracotta bone,neck chest wrist finger grave cradle door,the-dead child-harm snakebite illness,False,high,False,2026-09-16,https://nanobotco.github.io/amulet-atlas/tradition/egyptian-amulet-craft/,"The practice of making, wearing and burying small protective objects in ancient Egypt: shapes cut from stone or moulded in faience — quartz paste glazed blue or green in a kiln — pierced and strung, worn in life and…"
ethiopian-scroll-craft,tradition,Ethiopian scroll craft,ደብተራ,dabtara craft · Ethiopian healing scrolls · kitab making,east-africa,ET,1500,,True,sixteenth century to the present,scroll,parchment ink cloth leather,neck wall pocket,evil-eye spirits illness childbirth,True,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/tradition/ethiopian-scroll-craft/,"The making of painted parchment scrolls by dabtaras — unordained clerics of the Ethiopian Orthodox Church — for named people, cut to their height, written in Ge'ez, and read aloud to them by someone who can read it."
european-folk-apotropaic,tradition,European folk apotropaic craft,,European protective folk practice · household charms of Europe · cold-iron and threshold craft,britain-ireland western-europe rome-italy iberia nordic balkans baltic-slavic,GB IE IT ES DE BG DK LT EE RU,1308,,True,Late medieval to the present,door-piece,iron wood thread glass herb amber leather cloth silver,door lintel hearth wall roof neck pocket cradle foundation,witchcraft spirits fire bad-luck evil-eye child-harm livestock,False,high,False,2026-09-17,https://nanobotco.github.io/amulet-atlas/tradition/european-folk-apotropaic/,"Protective objects made and kept by European households outside the church's list: iron over a door, a bottle in a hearth, a shoe in a wall, rowan bound with red thread, a cross of rushes in the rafters, a bead against…"
greco-roman-apotropaic,tradition,Greek and Roman protective magic,ἀποτρόπαιος,apotropaic magic · Graeco-Roman amulet practice,greece-aegean rome-italy anatolia britain-ireland maghreb,GR IT TR GB LY,-699,499,False,Archaic Greek to late Roman,,,,evil-eye envy child-harm house illness,False,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/tradition/greco-roman-apotropaic/,"A practice organised around one idea: harm arrives through a look, so the answer is to catch the look. The Greek word for it is apotrépō, to turn away."
hindu-kavacha,tradition,Kavacha — the Hindu armour tradition,कवच,kavaca · kavacham · kavach · armour hymn · Hindu protective amulet craft,south-asia,IN NP LK,400,,True,Puranic to the present,,,,bad-luck evil-eye illness demons,False,medium,True,2026-09-16,https://nanobotco.github.io/amulet-atlas/tradition/hindu-kavacha/,"A family of practice in which protection is armour, said or worn."
